ga.dateHourMinute;ga.userType;ga.sessionCount;ga.userBucket;ga.sessionDurationBucket;ga.sessionsWithEvent;ga.uniqueDimensionCombinations;Sucess
201803201906;New Visitor;1;65;2;1;1;FALSE
201803201906;New Visitor;1;84;1;1;1;FALSE
201803201918;New Visitor;1;9;249;1;1;FALSE
201803201919;New Visitor;1;9;249;0;1;FALSE
201803201922;New Visitor;1;9;249;0;1;FALSE
201803201924;New Visitor;1;19;2;1;1;FALSE
201803201924;New Visitor;1;53;125;1;1;FALSE
201803201925;New Visitor;1;53;125;0;1;FALSE
201803201926;New Visitor;1;53;125;0;1;FALSE
201803201946;New Visitor;1;50;2;1;1;FALSE
201803202013;New Visitor;1;22;316;1;1;FALSE
201803202038;New Visitor;1;27;2;1;1;FALSE
201803202044;New Visitor;1;55;1;1;1;FALSE
201803202113;New Visitor;1;65;2;1;1;FALSE
201803202121;New Visitor;1;3;488;1;1;FALSE
201803202126;New Visitor;1;3;488;0;1;FALSE
201803202127;New Visitor;1;38;215;0;1;FALSE
201803202128;New Visitor;1;3;488;0;1;FALSE
201803202128;New Visitor;1;38;215;0;1;FALSE
201803202129;New Visitor;1;3;488;0;1;FALSE
201803202129;New Visitor;1;38;215;0;1;FALSE
201803202308;New Visitor;1;2;272;1;1;FALSE
201803202309;New Visitor;1;2;272;0;1;FALSE
201803202310;New Visitor;1;2;272;0;1;FALSE
201803202311;New Visitor;1;2;272;0;1;FALSE
201803202312;New Visitor;1;2;272;0;1;FALSE
201803202349;New Visitor;1;32;2;1;1;FALSE
201803202349;New Visitor;1;53;133;0;1;FALSE
201803202355;New Visitor;1;83;2;1;1;FALSE
201803210211;New Visitor;1;74;50;1;1;FALSE
201803210359;New Visitor;1;80;2;1;1;FALSE
201803210602;New Visitor;1;97;112;1;1;FALSE
201803210840;Returning Visitor;3;64;1;1;1;FALSE
201803210921;Returning Visitor;2;3;3;1;1;FALSE
201803211049;New Visitor;1;89;1171;0;1;FALSE
201803211055;New Visitor;1;33;287;0;1;FALSE
201803211056;New Visitor;1;33;287;0;1;FALSE
201803211059;New Visitor;1;33;287;0;1;FALSE
201803211126;New Visitor;1;51;1;1;1;FALSE
201803211355;New Visitor;1;67;2;1;1;FALSE
201803211539;New Visitor;1;82;1;1;1;FALSE
201803211559;New Visitor;1;35;2;1;1;FALSE
201803211622;New Visitor;1;85;67;0;1;FALSE
201803211628;New Visitor;1;1;1;1;1;FALSE
201803211646;New Visitor;1;3;7;1;1;FALSE
201803211721;New Visitor;1;60;1;1;1;FALSE
201803211740;New Visitor;1;61;2;1;1;FALSE
201803211831;New Visitor;1;93;24;1;1;FALSE
201803211943;New Visitor;1;6;293;1;1;FALSE
201803211946;New Visitor;1;6;293;0;1;FALSE
201803212033;New Visitor;1;64;1;1;1;FALSE
201803212037;New Visitor;1;92;82;1;1;FALSE
201803212038;New Visitor;1;92;82;0;1;FALSE
201803212039;New Visitor;1;29;2;1;1;FALSE
201803212129;New Visitor;1;15;1;1;1;FALSE
201803212147;New Visitor;1;56;1;1;1;FALSE
201803212321;Returning Visitor;2;24;191;0;1;FALSE
201803212322;Returning Visitor;2;24;191;0;1;FALSE
201803220201;New Visitor;1;9;296;0;1;FALSE
201803220202;New Visitor;1;9;296;0;1;FALSE
201803220205;New Visitor;1;9;296;0;1;FALSE
201803220832;New Visitor;1;59;88;0;1;FALSE
201803220847;New Visitor;1;95;1;1;1;FALSE
201803220952;New Visitor;1;92;48;1;1;FALSE
201803221128;New Visitor;1;6;2;1;1;FALSE
201803221209;New Visitor;1;76;1;1;1;FALSE
201803221213;New Visitor;1;36;70;1;1;FALSE
201803221214;New Visitor;1;36;70;0;1;FALSE
201803221254;New Visitor;1;45;2;1;1;FALSE
201803221408;New Visitor;1;23;17;1;1;FALSE
201803221506;New Visitor;1;50;10;1;1;FALSE
201803221507;New Visitor;1;50;10;0;1;FALSE
201803221527;New Visitor;1;36;96;1;1;FALSE
201803221529;New Visitor;1;36;96;0;1;FALSE
201803221726;New Visitor;1;57;6;1;1;FALSE
201803221754;New Visitor;1;70;6;1;1;FALSE
201803221901;New Visitor;1;77;1;1;1;FALSE
201803222134;New Visitor;1;20;2;1;1;FALSE
201803222151;New Visitor;1;38;1;1;1;FALSE
201803222349;New Visitor;1;88;1;1;1;FALSE
201803230040;New Visitor;1;57;1;1;1;FALSE
201803230144;Returning Visitor;2;87;2;1;1;FALSE
201803230251;New Visitor;1;87;11;1;1;FALSE
201803230548;New Visitor;1;69;217;0;1;FALSE
201803230549;New Visitor;1;69;217;0;1;FALSE
201803230550;New Visitor;1;69;217;0;1;FALSE
201803230551;New Visitor;1;69;217;0;1;FALSE
201803230812;New Visitor;1;76;3;1;1;FALSE
201803231002;New Visitor;1;22;349;1;1;FALSE
201803231003;New Visitor;1;22;349;0;1;FALSE
201803231008;New Visitor;1;22;349;0;1;FALSE
201803231012;New Visitor;1;7;1;1;1;FALSE
201803231055;New Visitor;1;27;582;1;1;FALSE
201803231056;New Visitor;1;27;582;0;1;FALSE
201803231057;New Visitor;1;27;582;0;1;FALSE
201803231059;New Visitor;1;92;922;1;1;FALSE
201803231102;New Visitor;1;92;922;0;1;FALSE
201803231103;New Visitor;1;92;922;0;1;FALSE
201803231108;New Visitor;1;37;25;0;1;FALSE
201803231114;New Visitor;1;92;922;0;1;FALSE
201803231117;New Visitor;1;8;1;1;1;FALSE
201803231127;New Visitor;1;56;257;0;1;FALSE
201803231130;New Visitor;1;56;257;0;1;FALSE
201803231208;Returning Visitor;2;92;144;0;1;FALSE
201803231209;Returning Visitor;2;92;144;0;1;FALSE
201803231212;New Visitor;1;24;9;1;1;FALSE
201803231239;New Visitor;1;37;2;1;1;FALSE
201803231241;New Visitor;1;20;17;0;1;FALSE
201803231247;Returning Visitor;3;92;112;1;1;FALSE
201803231248;Returning Visitor;3;92;112;0;1;FALSE
201803231249;Returning Visitor;3;92;112;0;1;FALSE
201803231331;New Visitor;1;82;1;1;1;FALSE
201803231508;New Visitor;1;75;111;1;1;FALSE
201803231509;New Visitor;1;75;111;0;1;FALSE
201803231510;New Visitor;1;75;111;0;1;FALSE
201803231609;New Visitor;1;60;131;1;1;FALSE
201803231611;New Visitor;1;60;131;0;1;FALSE
201803231627;New Visitor;1;4;1;1;1;FALSE
201803231645;New Visitor;1;81;86;1;1;FALSE
201803231650;New Visitor;1;55;17;1;1;FALSE
201803231710;New Visitor;1;34;1;1;1;FALSE
201803231718;New Visitor;1;11;4;1;1;FALSE
201803231904;New Visitor;1;20;450;1;1;FALSE
201803231908;New Visitor;1;20;450;0;1;FALSE
201803231911;New Visitor;1;20;450;0;1;FALSE
201803231912;New Visitor;1;20;450;0;1;FALSE
201803231923;Returning Visitor;3;90;1;1;1;FALSE
201803232101;New Visitor;1;46;21;1;1;FALSE
201803232123;New Visitor;1;58;143;1;1;FALSE
201803232124;New Visitor;1;58;143;0;1;FALSE
201803232125;New Visitor;1;58;143;0;1;FALSE
201803232127;New Visitor;1;69;44;1;1;FALSE
201803232149;New Visitor;1;95;834;0;1;FALSE
201803232150;New Visitor;1;95;834;0;1;FALSE
201803232153;New Visitor;1;95;834;0;1;FALSE
201803232323;New Visitor;1;27;8;1;1;FALSE
201803240048;Returning Visitor;2;75;275;1;1;FALSE
201803240051;Returning Visitor;2;75;275;0;1;FALSE
201803240053;Returning Visitor;2;75;275;0;1;FALSE
201803240136;New Visitor;1;67;637;1;1;FALSE
201803240139;New Visitor;1;67;637;0;1;FALSE
201803240140;New Visitor;1;67;637;0;1;FALSE
201803240147;New Visitor;1;67;637;0;1;FALSE
201803240215;New Visitor;1;28;2;1;1;FALSE
201803240609;New Visitor;1;76;583;1;1;FALSE
201803240610;New Visitor;1;76;583;0;1;FALSE
201803240619;New Visitor;1;76;583;0;1;FALSE
201803240759;New Visitor;1;7;493;1;1;FALSE
201803240807;New Visitor;1;7;493;0;1;FALSE
201803240934;New Visitor;1;58;1;1;1;FALSE
201803240939;New Visitor;1;57;1;1;1;FALSE
201803241046;New Visitor;1;22;3;1;1;FALSE
